10:31:21 INF [TCP] connected lAddr=127.0.0.1:50941 rAddr=www.v2ex.com:443 mode=rule rule=Match() proxy=节点选择[日本-优化2-GPT]
10:31:21 INF [TCP] connected lAddr=127.0.0.1:50943 rAddr=www.v2ex.com:443 mode=rule rule=Match() proxy=节点选择[日本-优化2-GPT]
10:31:22 INF [TCP] connected lAddr=127.0.0.1:50947 rAddr=sutongiot.com:17101 mode=rule rule=GeoIP(CN) proxy=DIRECT
10:31:22 INF [TCP] connected lAddr=127.0.0.1:50945 rAddr=nav-edge.smartscreen.microsoft.com:443 mode=rule rule=DomainSuffix(microsoft.com) proxy=微软服务[日本JP-T-GPT]
10:31:22 INF [TCP] connected lAddr=127.0.0.1:50955 rAddr=sutongiot.com:17101 mode=rule rule=GeoIP(CN) proxy=DIRECT
10:31:22 INF [TCP] connected lAddr=127.0.0.1:50950 rAddr=sutongiot.com:17101 mode=rule rule=GeoIP(CN) proxy=DIRECT
10:31:22 INF [TCP] connected lAddr=127.0.0.1:50951 rAddr=sutongiot.com:17101 mode=rule rule=GeoIP(CN) proxy=DIRECT
10:31:22 INF [TCP] connected lAddr=127.0.0.1:50956 rAddr=sutongiot.com:17101 mode=rule rule=GeoIP(CN) proxy=DIRECT
10:31:22 INF [TCP] connected lAddr=127.0.0.1:50949 rAddr=sutongiot.com:17101 mode=rule rule=GeoIP(CN) proxy=DIRECT
10:31:22 INF [TCP] connected lAddr=127.0.0.1:50960 rAddr=map.qq.com:443 mode=rule rule=DomainSuffix(qq.com) proxy=DIRECT
10:31:22 INF [TCP] connected lAddr=127.0.0.1:50957 rAddr=map.qq.com:443 mode=rule rule=DomainSuffix(qq.com) proxy=DIRECT
10:31:23 INF [TCP] connected lAddr=127.0.0.1:50964 rAddr=mapapi.qq.com:443 mode=rule rule=DomainSuffix(qq.com) proxy=DIRECT
10:31:23 INF [TCP] connected lAddr=127.0.0.1:50969 rAddr=mapapi.qq.com:443 mode=rule rule=DomainSuffix(qq.com) proxy=DIRECT
10:31:23 INF [TCP] connected lAddr=127.0.0.1:50966 rAddr=sutongiot.com:17101 mode=rule rule=GeoIP(CN) proxy=DIRECT
10:31:23 INF [TCP] connected lAddr=127.0.0.1:50967 rAddr=sutongiot.com:17101 mode=rule rule=GeoIP(CN) proxy=DIRECT
10:31:24 INF [TCP] connected lAddr=127.0.0.1:50972 rAddr=webapi.amap.com:443 mode=rule rule=DomainSuffix(amap.com) proxy=DIRECT
10:31:24 INF [TCP] connected lAddr=127.0.0.1:50974 rAddr=sutongiot.com:17101 mode=rule rule=GeoIP(CN) proxy=DIRECT
10:31:24 INF [TCP] connected lAddr=127.0.0.1:50976 rAddr=sutongiot.com:17101 mode=rule rule=GeoIP(CN) proxy=DIRECT
10:31:24 INF [TCP] connected lAddr=127.0.0.1:50978 rAddr=webapi.amap.com:443 mode=rule rule=DomainSuffix(amap.com) proxy=DIRECT
10:31:25 INF [TCP] connected lAddr=127.0.0.1:50980 rAddr=webapi.amap.com:443 mode=rule rule=DomainSuffix(amap.com) proxy=DIRECT
10:31:25 INF [TCP] connected lAddr=127.0.0.1:50982 rAddr=edge.microsoft.com:443 mode=rule rule=DomainSuffix(microsoft.com) proxy=微软服务[日本JP-T-GPT]
10:31:25 INF [TCP] connected lAddr=127.0.0.1:50984 rAddr=webapi.amap.com:443 mode=rule rule=DomainSuffix(amap.com) proxy=DIRECT
10:31:35 INF [TCP] connected lAddr=127.0.0.1:50987 rAddr=chinaeast2-0.in.applicationinsights.azure.cn:443 mode=rule rule=DomainSuffix(azure.cn) proxy=微软服务[日本JP-T-GPT]
10:31:35 INF [TCP] connected lAddr=127.0.0.1:50986 rAddr=chinaeast2-0.in.applicationinsights.azure.cn:443 mode=rule rule=DomainSuffix(azure.cn) proxy=微软服务[日本JP-T-GPT]
10:31:35 INF [TCP] connected lAddr=127.0.0.1:50990 rAddr=chinaeast2-0.in.applicationinsights.azure.cn:443 mode=rule rule=DomainSuffix(azure.cn) proxy=微软服务[日本JP-T-GPT]
